pulseheight,counts_ch_A,counts_ch_B
1.9607843137254901,0,0
5.88235294117647,6,0
9.80392156862745,140,0
13.72549019607843,506,0
17.64705882352941,532,0
21.56862745098039,487,0
25.49019607843137,590,0
29.41176470588235,808,0
33.33333333333333,1233,0
37.25490196078431,1103,0
41.17647058823529,1088,0
45.09803921568627,911,0
49.01960784313725,926,0
52.94117647058823,946,0
56.86274509803921,855,0
60.78431372549019,787,0
64.70588235294117,769,0
68.62745098039215,729,0
72.54901960784312,647,0
76.47058823529412,561,0
80.39215686274508,554,0
84.31372549019608,484,0
88.23529411764704,505,0
92.15686274509804,426,0
96.078431372549,382,0
100.0,376,0
103.92156862745097,326,0
107.84313725490196,362,0
111.76470588235293,248,0
115.68627450980392,268,0
119.60784313725489,248,0
123.52941176470588,219,0
127.45098039215685,214,0
131.37254901960785,211,0
135.2941176470588,203,0
139.21568627450978,167,0
143.13725490196077,177,0
147.05882352941177,155,0
150.98039215686273,151,0
154.9019607843137,176,0
158.8235294117647,148,0
162.7450980392157,110,0
166.66666666666666,134,0
170.58823529411762,121,0
174.50980392156862,110,0
178.4313725490196,142,0
182.35294117647058,106,0
186.27450980392155,102,0
190.19607843137254,109,0
194.11764705882354,105,0
198.0392156862745,119,0
201.96078431372547,117,0
205.88235294117646,91,0
209.80392156862746,120,0
213.72549019607843,92,0
217.6470588235294,74,0
221.5686274509804,76,0
225.49019607843138,93,0
229.41176470588235,60,0
233.33333333333331,65,0
237.2549019607843,39,0
241.1764705882353,42,0
245.09803921568627,60,0
249.01960784313724,49,0
252.94117647058823,68,0
256.8627450980392,61,0
260.78431372549016,45,0
264.70588235294116,54,0
268.62745098039215,67,0
272.5490196078431,49,0
276.47058823529414,56,0
280.3921568627451,41,0
284.313725490196,60,0
288.2352941176471,223,0
292.156862745098,183,0
296.078431372549,29,0
300.0,30,0
303.92156862745094,29,0
307.843137254902,29,0
311.7647058823529,34,0
315.68627450980387,30,0
319.6078431372549,35,0
323.52941176470586,25,0
327.45098039215685,27,0
331.37254901960785,34,0
335.2941176470588,34,0
339.21568627450984,38,0
343.1372549019608,39,0
347.0588235294117,20,0
350.98039215686276,28,0
354.9019607843137,28,0
358.8235294117647,27,0
362.7450980392157,29,0
366.66666666666663,24,0
370.5882352941177,31,0
374.5098039215686,35,0
378.43137254901956,32,0
382.3529411764706,20,0
386.27450980392155,26,0
390.1960784313725,22,0
394.11764705882354,19,0
398.0392156862745,28,0
401.96078431372547,21,0
405.88235294117646,18,0
409.8039215686274,17,0
413.72549019607845,33,0
417.6470588235294,25,0
421.56862745098033,27,0
425.4901960784314,28,0
429.4117647058823,20,0
433.3333333333333,23,0
437.2549019607843,15,0
441.17647058823525,20,0
445.0980392156863,21,0
449.01960784313724,20,0
452.9411764705882,19,0
456.8627450980392,22,0
460.78431372549016,15,0
464.70588235294116,21,0
468.62745098039215,15,0
472.5490196078431,15,0
476.47058823529414,23,0
480.3921568627451,20,0
484.313725490196,17,0
488.2352941176471,23,0
492.156862745098,23,0
496.078431372549,16,0
500.0,17,0
503.92156862745094,28,0
507.84313725490193,18,0
511.7647058823529,17,0
515.686274509804,18,0
519.6078431372548,21,0
523.5294117647059,24,0
527.4509803921569,11,0
531.3725490196077,21,0
535.2941176470588,11,0
539.2156862745098,16,0
543.1372549019608,18,0
547.0588235294117,14,0
550.9803921568628,17,0
554.9019607843137,14,0
558.8235294117646,19,0
562.7450980392157,6,0
566.6666666666666,4,0
570.5882352941176,9,0
574.5098039215686,10,0
578.4313725490197,8,0
582.3529411764705,5,0
586.2745098039215,11,0
590.1960784313726,9,0
594.1176470588234,9,0
598.0392156862745,9,0
601.9607843137255,10,0
605.8823529411765,10,0
609.8039215686274,7,0
613.7254901960785,10,0
617.6470588235294,8,0
621.5686274509803,2,0
625.4901960784314,7,0
629.4117647058823,5,0
633.3333333333333,8,0
637.2549019607843,71,0
641.1764705882352,23,0
645.0980392156862,7,0
649.0196078431372,6,0
652.9411764705883,3,0
656.8627450980391,5,0
660.7843137254902,2,0
664.7058823529412,3,0
668.627450980392,3,0
672.5490196078431,5,0
676.4705882352941,4,0
680.3921568627451,5,0
684.313725490196,4,0
688.2352941176471,4,0
692.156862745098,5,0
696.078431372549,8,0
700.0,1,0
703.9215686274509,2,0
707.8431372549019,4,0
711.7647058823529,6,0
715.686274509804,5,0
719.6078431372548,3,0
723.5294117647059,1,0
727.4509803921569,4,0
731.3725490196077,4,0
735.2941176470588,3,0
739.2156862745098,1,0
743.1372549019608,2,0
747.0588235294117,2,0
750.9803921568628,4,0
754.9019607843137,2,0
758.8235294117646,4,0
762.7450980392157,1,0
766.6666666666666,0,0
770.5882352941176,9,0
774.5098039215686,3,0
778.4313725490196,3,0
782.3529411764705,2,0
786.2745098039215,0,0
790.1960784313726,2,0
794.1176470588234,3,0
798.0392156862745,5,0
801.9607843137255,2,0
805.8823529411764,4,0
809.8039215686274,4,0
813.7254901960785,7,0
817.6470588235294,3,0
821.5686274509803,3,0
825.4901960784314,5,0
829.4117647058823,4,0
833.3333333333333,2,0
837.2549019607843,2,0
841.1764705882352,1,0
845.0980392156862,2,0
849.0196078431372,1,0
852.9411764705883,1,0
856.8627450980391,1,0
860.7843137254902,1,0
864.7058823529412,2,0
868.627450980392,1,0
872.5490196078431,2,0
876.4705882352941,2,0
880.392156862745,3,0
884.313725490196,5,0
888.2352941176471,0,0
892.156862745098,0,0
896.078431372549,1,0
900.0,5,0
903.9215686274509,3,0
907.8431372549019,1,0
911.7647058823529,2,0
915.6862745098039,2,0
919.6078431372548,3,0
923.5294117647059,0,0
927.4509803921569,3,0
931.3725490196077,1,0
935.2941176470588,0,0
939.2156862745098,2,0
943.1372549019607,1,0
947.0588235294117,0,0
950.9803921568628,3,0
954.9019607843137,2,0
958.8235294117646,2,0
962.7450980392157,2,0
966.6666666666666,1,0
970.5882352941176,3,0
974.5098039215686,7,0
978.4313725490196,2,0
982.3529411764705,2,0
986.2745098039215,2,0
990.1960784313726,0,0
994.1176470588234,2,0
998.0392156862745,15,0
