pulseheight,counts_ch_A,counts_ch_B
2.092050209205021,0,0
6.2761506276150625,6,0
10.460251046025103,143,0
14.644351464435147,178,0
18.828451882845187,156,0
23.012552301255226,220,0
27.196652719665273,225,0
31.380753138075313,286,0
35.56485355648535,336,0
39.74895397489539,346,0
43.93305439330544,346,0
48.11715481171548,325,0
52.30125523012552,276,0
56.48535564853556,275,0
60.66945606694561,263,0
64.85355648535565,235,0
69.03765690376568,220,0
73.22175732217573,187,0
77.40585774058576,187,0
81.58995815899581,183,0
85.77405857740585,156,0
89.9581589958159,157,0
94.14225941422595,166,0
98.32635983263597,130,0
102.51046025104603,104,0
106.69456066945605,120,0
110.8786610878661,91,0
115.06276150627615,79,0
119.24686192468619,79,0
123.43096234309624,79,0
127.61506276150627,73,0
131.79916317991632,82,0
135.98326359832635,78,0
140.1673640167364,74,0
144.35146443514645,82,0
148.53556485355648,72,0
152.7196652719665,50,0
156.90376569037656,46,0
161.0878661087866,47,0
165.27196652719664,34,0
169.45606694560666,32,0
173.64016736401675,29,0
177.82426778242677,26,0
182.0083682008368,35,0
186.19246861924685,28,0
190.3765690376569,28,0
194.56066945606693,27,0
198.74476987447696,29,0
202.92887029288704,18,0
207.11297071129707,33,0
211.2970711297071,18,0
215.48117154811715,31,0
219.6652719665272,30,0
223.84937238493723,365,0
228.03347280334725,28,0
232.21757322175733,17,0
236.40167364016736,19,0
240.58577405857739,18,0
244.76987447698744,9,0
248.9539748953975,7,0
253.13807531380752,15,0
257.32217573221754,13,0
261.5062761506276,14,0
265.69037656903765,19,0
269.8744769874477,21,0
274.0585774058577,13,0
278.2426778242678,7,0
282.4267782426778,11,0
286.61087866108784,12,0
290.7949790794979,14,0
294.97907949790795,12,0
299.163179916318,10,0
303.347280334728,13,0
307.5313807531381,14,0
311.7154811715481,15,0
315.89958158995813,10,0
320.0836820083682,15,0
324.26778242677824,16,0
328.45188284518827,11,0
332.6359832635983,10,0
336.8200836820083,11,0
341.0041841004184,12,0
345.1882845188284,9,0
349.3723849372385,14,0
353.55648535564853,6,0
357.74058577405856,6,0
361.9246861924686,9,0
366.1087866108786,10,0
370.2928870292887,20,0
374.4769874476987,6,0
378.6610878661088,6,0
382.8451882845188,15,0
387.02928870292885,6,0
391.2133891213389,12,0
395.3974895397489,13,0
399.581589958159,10,0
403.765690376569,6,0
407.9497907949791,10,0
412.1338912133891,8,0
416.31799163179915,9,0
420.50209205020917,15,0
424.6861924686192,9,0
428.8702928870293,9,0
433.0543933054393,6,0
437.2384937238494,13,0
441.4225941422594,9,0
445.60669456066944,15,0
449.79079497907946,15,0
453.9748953974895,20,0
458.1589958158996,14,0
462.3430962343096,18,0
466.5271966527197,13,0
470.7112970711297,9,0
474.89539748953973,5,0
479.07949790794976,10,0
483.2635983263598,8,0
487.44769874476987,7,0
491.6317991631799,6,0
495.8158995815899,7,0
500.0,4,0
504.18410041841,9,0
508.36820083682005,10,0
512.5523012552301,2,0
516.7364016736401,3,0
520.9205020920501,6,0
525.1046025104603,4,0
529.2887029288703,8,0
533.4728033472803,5,0
537.6569037656903,3,0
541.8410041841004,5,0
546.0251046025104,7,0
550.2092050209205,2,0
554.3933054393306,18,0
558.5774058577406,47,0
562.7615062761506,3,0
566.9456066945606,2,0
571.1297071129707,3,0
575.3138075313807,2,0
579.4979079497907,3,0
583.6820083682009,4,0
587.8661087866109,2,0
592.0502092050209,0,0
596.2343096234309,4,0
600.418410041841,2,0
604.602510460251,0,0
608.7866108786611,2,0
612.9707112970711,1,0
617.1548117154812,2,0
621.3389121338912,3,0
625.5230125523012,3,0
629.7071129707113,0,0
633.8912133891213,3,0
638.0753138075313,15,0
642.2594142259414,0,0
646.4435146443515,0,0
650.6276150627615,0,0
654.8117154811715,0,0
658.9958158995815,0,0
663.1799163179916,0,0
667.3640167364016,1,0
671.5481171548117,3,0
675.7322175732218,0,0
679.9163179916318,2,0
684.1004184100418,0,0
688.2845188284518,1,0
692.4686192468619,0,0
696.6527196652719,1,0
700.8368200836819,1,0
705.020920502092,0,0
709.2050209205021,1,0
713.3891213389121,1,0
717.5732217573221,0,0
721.7573221757322,0,0
725.9414225941422,1,0
730.1255230125523,1,0
734.3096234309623,0,0
738.4937238493724,1,0
742.6778242677824,0,0
746.8619246861924,0,0
751.0460251046024,1,0
755.2301255230125,1,0
759.4142259414225,1,0
763.5983263598326,0,0
767.7824267782427,0,0
771.9665271966527,2,0
776.1506276150627,1,0
780.3347280334727,2,0
784.5188284518828,1,0
788.7029288702929,0,0
792.8870292887029,0,0
797.071129707113,1,0
801.255230125523,0,0
805.439330543933,0,0
809.623430962343,1,0
813.8075313807531,0,0
817.9916317991631,0,0
822.1757322175732,0,0
826.3598326359833,1,0
830.5439330543933,2,0
834.7280334728033,1,0
838.9121338912133,0,0
843.0962343096234,1,0
847.2803347280335,1,0
851.4644351464435,0,0
855.6485355648535,1,0
859.8326359832636,1,0
864.0167364016736,1,0
868.2008368200836,1,0
872.3849372384936,0,0
876.5690376569037,0,0
880.7531380753138,1,0
884.9372384937238,0,0
889.1213389121339,0,0
893.3054393305439,0,0
897.4895397489539,0,0
901.6736401673639,0,0
905.8577405857741,0,0
910.0418410041841,0,0
914.2259414225941,1,0
918.4100418410042,1,0
922.5941422594142,1,0
926.7782426778242,0,0
930.9623430962342,0,0
935.1464435146443,0,0
939.3305439330544,0,0
943.5146443514644,0,0
947.6987447698745,1,0
951.8828451882845,0,0
956.0669456066945,1,0
960.2510460251045,0,0
964.4351464435146,0,0
968.6192468619247,0,0
972.8033472803347,0,0
976.9874476987447,0,0
981.1715481171548,0,0
985.3556485355648,1,0
989.5397489539748,0,0
993.7238493723848,0,0
997.9079497907949,31,0
